"state","mean_temperature_F"
"AK",37.716
"AL",62.3669565217391
"AR",60.8084210526316
"AZ",63.3745454545455
"CA",59.4571428571429
"CO",45.9685714285714
"CT",48.6883333333333
"DE",55.785
"FL",71.2053333333333
"GA",63.47
"HI",71.9725
"IA",47.89
"ID",46.567
"IL",51.5903703703704
"IN",51.4277777777778
"KS",55.1283333333333
"KY",56.2394736842105
"LA",66.5979166666667
"MA",47.215
"MD",56.5916666666667
"ME",43.928
"MI",46.656
"MN",44.0489473684211
"MO",54.8614285714286
"MS",63.6773913043478
"MT",44.0525
"NC",58.8046153846154
"ND",41.538
"NE",49.7445454545455
"NH",44.694
"NJ",54.1625
"NM",53.8731578947368
"NV",50.84375
"NY",46.1746153846154
"OH",50.4513157894737
"OK",59.8633333333333
"OR",51.0388235294118
"PA",48.9024242424242
"SC",61.6395238095238
"SD",45.9336363636364
"TN",57.8212
"TX",65.4070588235294
"UT",48.5822222222222
"VA",54.194
"VT",44.7975
"WA",50.4331578947368
"WI",45.2327272727273
"WV",52.9733333333333
"WY",43.48125
