"state","mean_temperature_F"
"<U+00A0>Alabama",62.3669565217391
"<U+00A0>Alaska",37.716
"<U+00A0>Arizona",63.3745454545455
"<U+00A0>Arkansas",60.8084210526316
"<U+00A0>California",59.4571428571429
"<U+00A0>Colorado",45.9685714285714
"<U+00A0>Connecticut",48.6883333333333
"<U+00A0>Delaware",55.785
"<U+00A0>Florida",71.2053333333333
"<U+00A0>Georgia",63.47
"<U+00A0>Hawaii",71.9725
"<U+00A0>Idaho",46.567
"<U+00A0>Illinois",51.5903703703704
"<U+00A0>Indiana",51.4277777777778
"<U+00A0>Iowa",47.89
"<U+00A0>Kansas",55.1283333333333
"<U+00A0>Kentucky",56.2394736842105
"<U+00A0>Louisiana",66.5979166666667
"<U+00A0>Maine",43.928
"<U+00A0>Maryland",56.5916666666667
"<U+00A0>Massachusetts",47.215
"<U+00A0>Michigan",46.656
"<U+00A0>Minnesota",44.0489473684211
"<U+00A0>Mississippi",63.6773913043478
"<U+00A0>Missouri",54.8614285714286
"<U+00A0>Montana",44.0525
"<U+00A0>Nebraska",49.7445454545455
"<U+00A0>Nevada",50.84375
"<U+00A0>New Hampshire",44.694
"<U+00A0>New Jersey",54.1625
"<U+00A0>New Mexico",53.8731578947368
"<U+00A0>New York",46.1746153846154
"<U+00A0>North Carolina",58.8046153846154
"<U+00A0>North Dakota",41.538
"<U+00A0>Ohio",50.4513157894737
"<U+00A0>Oklahoma",59.8633333333333
"<U+00A0>Oregon",51.0388235294118
"<U+00A0>Pennsylvania",48.9024242424242
"<U+00A0>Rhode Island",NA
"<U+00A0>South Carolina",61.6395238095238
"<U+00A0>South Dakota",45.9336363636364
"<U+00A0>Tennessee",57.8212
"<U+00A0>Texas",65.4070588235294
"<U+00A0>Utah",48.5822222222222
"<U+00A0>Vermont",44.7975
"<U+00A0>Virginia",54.194
"<U+00A0>Washington",50.4331578947368
"<U+00A0>West Virginia",52.9733333333333
"<U+00A0>Wisconsin",45.2327272727273
"<U+00A0>Wyoming",43.48125
